id,text_clean
Preambuła,©kancelaria kwietnia trosce byt przyszłość naszej ojczyzny odzyskawszy możliwość suwerennego demokratycznego stanowienia losie naród obywatel zarówno wierzący boga będącego źródłem prawdy sprawiedliwości dobra piękna nie podzielający wiary uniwersalne wartości wywodzący źródeł rownosc prawo powinnościach wobec dobra wspólnego wdzięczni naszym przodkom pracę walkę niepodległość okupioną ogromnymi ofiarami kulturę zakorzenioną chrześcijańskim dziedzictwie narodu ogólnoludzkich wartościach nawiązując najlepszych tradycji pierwszej drugiej obowiazany przekazać przyszłym pokoleniom cenne tysiącletniego dorobku złączeni więzami wspólnoty naszymi rodakami rozsianymi świecie świadomi potrzeby współpracy wszystkimi krajami dobra rodziny czlowiek pomni gorzkich doświadczeń czasów podstawowe wolnosc prawo czlowiek naszej ojczyźnie łamane pragnąc zagwarantować prawo obywatel działaniu instytucji publicznych zapewnić rzetelność sprawność poczuciu odpowiedzialnosc bogiem własnym sumieniem ustanawiamy konstytucję prawo podstawowe panstwo ©kancelaria oparte poszanowaniu wolnosc sprawiedliwości współdziałaniu władz dialogu społecznym zasadzie pomocniczości umacniającej moze obywatel wspólnot dobra trzeciej konstytucję stosowali wzywamy czynili dbając zachowanie przyrodzonej godnosc czlowiek prawo wolnosc obowiazek solidarności innymi poszanowanie zasad mieli niewzruszoną podstawę rozdział rzeczpospolita
Art. 1.,rzeczpospolita dobrem wspólnym obywatel
Art. 2.,rzeczpospolita demokratycznym panstwo prawo urzeczywistniającym zasady sprawiedliwości społecznej
Art. 3.,rzeczpospolita panstwo jednolitym
Art. 4.,władza zwierzchnia należy narodu naród sprawuje władzę swoich przedstawicieli bezpośrednio
Art. 5.,rzeczpospolita strzeże niepodległości nienaruszalności swojego terytorium zapewnia wolnosc prawo czlowiek obywatel bezpieczeństwo obywatel strzeże dziedzictwa narodowego zapewnia ochronę środowiska kierując zasadą zrównoważonego rozwoju
Art. 6.,rzeczpospolita stwarza warunki upowszechniania rownosc dostępu dóbr kultury będącej źródłem tożsamości narodu polskiego trwania rozwoju rzeczpospolita udziela pomocy polakom zamieszkałym granicą zachowaniu związków narodowym dziedzictwem kulturalnym
Art. 7.,organy władzy publicznej działają granicach prawo
Art. 8.,najwyższym prawo ©kancelaria przepisy konstytucji stosuje bezpośrednio chyba stanowi inaczej
Art. 9.,rzeczpospolita przestrzega wiążącego prawo międzynarodowego
Art. 10.,ustrój opiera podziale równowadze władzy ustawodawczej władzy wykonawczej władzy sądowniczej władzę ustawodawczą sprawują sejm senat władzę wykonawczą prezydent rada ministrów władzę sądowniczą sad trybunal
Art. 11.,rzeczpospolita zapewnia wolnosc tworzenia działania partii politycznych partie polityczne zrzeszają zasadach dobrowolności rownosc obywatel polskich celu wpływania metodami demokratycznymi kształtowanie polityki panstwo finansowanie partii politycznych jawne
Art. 12.,rzeczpospolita zapewnia wolnosc tworzenia działania związków zawodowych organizacji społecznozawodowych rolników stowarzyszeń ruchów obywatel dobrowolnych zrzeszeń fundacji
Art. 13.,zakaz istnienie partii politycznych organizacji odwołujących swoich programach totalitarnych metod praktyk działania nazizmu faszyzmu komunizmu program działalność zakłada dopuszcza nienawiść rasową narodowościową stosowanie przemocy celu zdobycia władzy wpływu politykę panstwo przewiduje utajnienie struktur członkostwa
Art. 14.,rzeczpospolita zapewnia wolnosc prasy środków społecznego przekazu
Art. 15.,ustrój terytorialny zapewnia decentralizację władzy publicznej zasadniczy podział terytorialny panstwo uwzględniający więzi społeczne gospodarcze kulturowe zapewniający jednostkom terytorialnym zdolność wykonywania zadań publicznych określa ustawa ©kancelaria
Art. 16.,ogół mieszkańców jednostek zasadniczego podziału terytorialnego stanowi mocy prawo wspólnotę samorządową samorząd terytorialny uczestniczy sprawowaniu władzy publicznej przysługującą ramach ustawa istotną część zadań publicznych samorząd wykonuje imieniu własnym własną odpowiedzialnosc
Art. 17.,drodze ustawa tworzyć samorządy zawodowe reprezentujące osoby wykonujące zawody zaufania publicznego sprawujące pieczę należytym wykonywaniem zawodów granicach interesu publicznego ochrona drodze ustawa tworzyć rodzaje samorządu samorządy nie naruszać wolnosc wykonywania zawodu ograniczenie wolnosc podejmowania działalności gospodarczej
Art. 18.,małżeństwo związek kobiety mężczyzny rodzina macierzyństwo rodzicielstwo znajdują ochrona opieką
Art. 19.,rzeczpospolita specjalną opieką otacza weteranów walk niepodległość zwłaszcza inwalidów wojennych
Art. 20.,społeczna gospodarka rynkowa oparta wolnosc działalności gospodarczej wlasnosc prywatnej solidarności dialogu współpracy partnerów społecznych stanowi podstawę ustroju gospodarczego
Art. 21.,rzeczpospolita ochrona wlasnosc prawo dziedziczenia wywłaszczenie dopuszczalne wówczas dokonywane cele publiczne słusznym odszkodowaniem
Art. 22.,ograniczenie wolnosc działalności gospodarczej dopuszczalne drodze ustawa względu ważny interes publiczny
Art. 23.,podstawą ustroju rolnego panstwo gospodarstwo rodzinne zasada nie narusza postanowień
Art. 24.,praca znajduje ochrona panstwo sprawuje nadzór warunkami wykonywania pracy
